Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),Mixed Water Volume (gal),Effectiveness Generic Equal (-),Savings Generic Equal (Btu),Potable Flow Rate Unequal-WaterHeater (gal/min),Potable Flow Unequal-WaterHeater (gal),Effectiveness Generic Unequal_WaterHeater (-),Savings Generic Unequal_WaterHeater (Btu),Fixture Cold Temperature Generic (deg F),Flow_Delta Generic (gal/min),Flow_Cold_ThroughDWHR_Generic,FlowRate Effectiveness Minimum,FlowRate Effectiveness Maximum,FlowRate_Cold_Effectiveness Generic,FlowRate_Draw_Effectiveness Generic,FlowRate_Minimum,"Effectiveness_Draw_Generic Equal, Flow=Cold","HeatRecovered_Draw Generic Equal, Flow=Cold",HeatRecoveryRate_Equal Generic (Btu/min),Flow Ratio Generic,HeatRecoveryRate_Unequal-Fixture Generic (Btu/min),HeatRecovered_Draw_Generic_Unequal-Fixture (Btu),Flow_Cold_ThroughDWHR_PostCalcuations Generic
2D7,2.0,5.502000000000002,SHWR,1.233,53.3915,32.91,8.91,0.8376847350609088,1.0328652783301004,5.682824761372213,6.783966000000002,0.4756926974183938,1382.4834972064807,0.20013472166989948,1.1011412386277872,0.5992722988390912,282.6942919053778,88.49863986181032,0.0017535468094321827,0.46525913899158344,0.5,7.5,0.5,1.233,0.4670126858010156,0.5095048800072451,560.8508993046923,101.93582321059473,2.6401852401186288,136.09829968333722,748.8128448577215,0.46525913899158344
2D7,2.0,8.123,SHWR,1.237,53.3915,38.3,14.3,0.8376847350609088,1.0362160172703443,8.417182708287005,10.048151,0.475468703746284,2046.7174755709798,0.20078398272965584,1.6309682917129944,0.6007048382617595,419.71689995075883,88.49631566397474,0.001763510403139712,0.4667275629745567,0.5,7.5,0.5,1.237,0.4684910733776964,0.5094608429801492,830.5741149940243,102.24967561172281,2.640391824504911,136.5200973837417,1108.9527510481337,0.4667275629745567
2D7,2.0,3.668,SHWR,1.881,53.3915,40.93,16.93,0.8376847350609088,1.5756849866495697,5.779612531030621,6.899508,0.4353286399910722,1286.7233180888895,0.30531501335043054,1.1198954689693792,0.7765814098594356,372.57549426741053,88.06274175655777,0.004062560210330246,0.6982893295972028,0.5,7.5,0.702351889807533,1.881,0.702351889807533,0.501328422034262,553.2943278326411,150.84360082678327,2.678144712496544,202.1402152509066,741.4503095403255,0.6982893295972028
1E1,3.0,16.245,SHWR,2.0,53.3385,56.79,8.79,0.8378242501398766,1.6756485002797532,27.22090988704459,32.49,0.42727019999999993,5953.164720573905,0.32435149972024685,5.269090112955411,0.798730114891043,1804.809088330308,87.95832555287757,0.004688039891927898,0.7395991708689565,0.5,7.5,0.7442872107608844,2.0,0.7442872107608844,0.49964009500081624,2590.676218821637,159.47529817307708,2.68713471235842,213.89173529328116,3474.6712398393524,0.7395991708689565
1E1,3.0,5.502000000000002,SHWR,1.611,53.3385,69.78999999999999,21.79,0.8378242501398766,1.3497348669753413,7.42624123809833,8.863722000000003,0.45300501018285294,1721.926920589386,0.2612651330246588,1.4374807619016734,0.7152769129128095,440.9322177374382,88.245733982025,0.0029201711985727963,0.6021469618780201,0.5,7.5,0.6050671330765929,1.611,0.6050671330765929,0.5049843517749661,720.9375622029316,131.03190879733395,2.6625144747303113,175.32650366288826,964.6464231532115,0.6021469618780201
2D8,5.0,5.47,SHWR,1.443,53.1725,102.42,6.42,0.8382596740932433,1.2096087097165502,6.6165596421495305,7.89321,0.46344039999866665,1573.7523090341022,0.2333912902834499,1.2766503578504709,0.6684526846560406,367.1398073713542,88.31877793460791,0.002369198615697843,0.5408298002480549,0.5,7.5,0.5431989988637528,1.443,0.5431989988637528,0.5071105733557476,648.2429249807371,118.50876142243824,2.6564850138133975,158.47723020418837,866.8704492169104,0.5408298002480549
2D8,5.0,3.854,SHWR,2.0,53.1725,107.12,11.12,0.8382596740932433,1.6765193481864866,6.461305567910719,7.708,0.42727019999999993,1416.880236401285,0.3234806518135134,1.2466944320892805,0.7989207792135147,428.50171982500405,87.91893256626744,0.004730617098949397,0.738523326266221,0.5,7.5,0.7432539433651704,2.0,0.7432539433651704,0.4996824816370841,615.7889461093919,159.77917646844625,2.690870351719579,214.37592745695952,826.204824419122,0.738523326266221
2D8,5.0,7.957000000000002,SHWR,1.474,53.1725,116.58,20.58,0.8382596740932433,1.235594759613441,9.831627502244148,11.728618000000003,0.461553402201241,2328.936410767128,0.23840524038655939,1.8969904977558536,0.6776498176667797,553.043527334703,88.29868748600127,0.002468477357825738,0.5520327883609557,0.5,7.5,0.5545012657187814,1.474,0.5545012657187814,0.506734081318261,961.879894270268,120.88474227350355,2.6582446084939106,161.68216990004035,1286.5050258946214,0.5520327883609557
2D9,6.0,12.237,SHWR,2.0,53.1125,128.79,8.79,0.838416481518885,1.67683296303777,20.51940496869319,24.474,0.42727019999999993,4504.005148708159,0.3231670369622298,3.9545950313068063,0.7989894608164019,1360.9256068310306,87.90470551339294,0.004746063628217834,0.7381355463726665,0.5,7.5,0.7428816100008844,2.0,0.7428816100008844,0.49969774582544674,1956.560477473904,159.88890066796634,2.6922190199291904,214.55080076556098,2625.4581489681696,0.7381355463726665
2D9,6.0,6.66,SHWR,2.0,53.1125,138.04,18.04,0.838416481518885,1.67683296303777,11.167707533831551,13.32,0.42727019999999993,2451.3094950066475,0.3231670369622298,2.1522924661684506,0.7989894608164019,740.6851794961726,87.90470551339294,0.004746063628217834,0.7381355463726665,0.5,7.5,0.7428816100008844,2.0,0.7428816100008844,0.49969774582544674,1064.860078448656,159.88890066796634,2.6922190199291904,214.55080076556098,1428.9083330986361,0.7381355463726665
4D9,7.0,11.005,SHWR,1.464,53.045,153.86,9.86,0.8385925268339924,1.2276994592849648,13.510832549431038,16.11132,0.4621641310481449,3211.317762672331,0.23630054071503512,2.6004874505689615,0.674757870897079,756.7608266071446,88.27533101606338,0.00245406706892326,0.5478084689767216,0.5,7.5,0.5502625360456449,1.464,0.5502625360456449,0.5068759113893911,1323.7853365738251,120.28944448649023,2.660548200356783,160.92193325870977,1770.945875512101,0.5478084689767216
4D9,7.0,13.101,SHWR,2.0,53.045,162.84,18.84,0.8385925268339924,1.6771850536679849,21.972801388104273,26.202,0.42727019999999993,4828.285781814679,0.3228149463320152,4.229198611895732,0.7990665802515066,1457.4610918814897,87.8887072782594,0.004763477309997266,0.7376999763630586,0.5,7.5,0.7424634536730559,2.0,0.7424634536730559,0.49971488247576024,2096.3207494980775,160.01227001740915,2.6937352809835415,214.74744727902785,2813.406306802544,0.7376999763630586
4D9,7.0,4.847,SHWR,2.0,53.045,163.41,19.41,0.8385925268339924,1.6771850536679849,8.129315955128723,9.694,0.42727019999999993,1786.3293782501903,0.3228149463320152,1.5646840448712778,0.7990665802515066,539.2194422066698,87.8887072782594,0.004763477309997266,0.7376999763630586,0.5,7.5,0.7424634536730559,2.0,0.7424634536730559,0.49971488247576024,775.5794727743822,160.01227001740915,2.6937352809835415,214.74744727902785,1040.8808769614482,0.7376999763630586
4D9,7.0,3.668,SHWR,2.0,53.045,164.6,20.6,0.8385925268339924,1.6771850536679849,6.151914776854169,7.336,0.42727019999999993,1351.816826783928,0.3228149463320152,1.1840852231458316,0.7990665802515066,408.0579562645068,87.8887072782594,0.004763477309997266,0.7376999763630586,0.5,7.5,0.7424634536730559,2.0,0.7424634536730559,0.49971488247576024,586.9250064238568,160.01227001740915,2.6937352809835415,214.74744727902785,787.6936366194742,0.7376999763630586
4D9,7.0,2.62,SHWR,2.0,53.045,164.79,20.79,0.8385925268339924,1.6771850536679849,4.3942248406101205,5.24,0.42727019999999993,965.5834477028056,0.3228149463320152,0.8457751593898798,0.7990665802515066,291.46996876036195,87.8887072782594,0.004763477309997266,0.7376999763630586,0.5,7.5,0.7424634536730559,2.0,0.7424634536730559,0.49971488247576024,419.232147445612,160.01227001740915,2.6937352809835415,214.74744727902785,562.638311871053,0.7376999763630586
5D4,8.0,7.335,SHWR,2.0,53.006,179.63,11.63,0.8386940671677904,1.6773881343355808,12.303641965351483,14.67,0.42727019999999993,2705.294315142587,0.32261186566441913,2.3663580346485142,0.7991110672016126,816.148905204981,87.87946732235174,0.004773556097710685,0.737448642241576,0.5,7.5,0.7422221983392867,2.0,0.7422221983392867,0.4997247665324798,1174.2125913214343,160.08351619924122,2.694610865149245,214.86102386123835,1576.0056100221832,0.737448642241576
