Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal)
4D6,2.0,7.211,SHWR,1.88,53.3915,31.29,7.289999999999999,0.8376847350609088,1.5748473019145084,11.35622389410552,31.410183333333332,1.0,13.55668
2D7,2.0,5.502000000000001,SHWR,1.2329999999999999,53.3915,32.91,8.909999999999997,0.8376847350609088,1.0328652783301004,5.682824761372213,33.0017,1.0,6.783966
4D6,2.0,6.837999999999999,SHWR,1.84,53.3915,35.3,11.299999999999997,0.8376847350609088,1.5413399125120721,10.539682321757548,35.41396666666667,1.0,12.581919999999998
4D6,2.0,3.6060000000000003,SHWR,1.5830000000000002,53.3915,36.82,12.82,0.8376847350609088,1.3260549356014188,4.781754097778717,36.8801,1.0,5.708298000000001
2D7,2.0,8.123,SHWR,1.237,53.3915,38.3,14.299999999999997,0.8376847350609088,1.0362160172703443,8.417182708287006,38.43538333333333,1.0,10.048151
4D6,2.0,8.081,SHWR,1.893,53.3915,40.480000000000004,16.480000000000004,0.8376847350609088,1.5857372034703003,12.814342341243496,40.61468333333334,1.0,15.297333
2D7,2.0,3.668,SHWR,1.881,53.3915,40.93,16.93,0.8376847350609088,1.5756849866495695,5.7796125310306214,40.99113333333333,1.0,6.899508
2E6,3.0,21.355999999999998,SHWR,1.3630000000000002,53.338499999999996,54.78,6.780000000000001,0.8378242501398766,1.141954452940652,24.387579297000563,55.135933333333334,1.0,29.108228
1E1,3.0,16.245,SHWR,2.0,53.338499999999996,56.79,8.79,0.8378242501398766,1.6756485002797532,27.22090988704459,57.06075,1.0,32.49
2E6,3.0,7.546,SHWR,1.3319999999999999,53.338499999999996,66.46000000000001,18.460000000000008,0.8378242501398766,1.1159819011863155,8.421199426351937,66.58576666666667,1.0,10.051271999999999
1E1,3.0,5.502000000000001,SHWR,1.611,53.338499999999996,69.78999999999999,21.789999999999992,0.8378242501398766,1.3497348669753413,7.426241238098329,69.8817,1.0,8.863722000000001
2D8,5.0,5.47,SHWR,1.443,53.1725,102.42,6.420000000000002,0.8382596740932433,1.2096087097165502,6.61655964214953,102.51116666666667,1.0,7.89321
2D8,5.0,3.8539999999999996,SHWR,2.0,53.1725,107.12,11.120000000000005,0.8382596740932433,1.6765193481864866,6.461305567910719,107.18423333333334,1.0,7.707999999999999
2D8,5.0,7.957000000000001,SHWR,1.474,53.1725,116.58,20.58,0.8382596740932433,1.2355947596134407,9.831627502244148,116.71261666666666,1.0,11.728618
2D0,5.0,3.9789999999999996,SHWR,2.0,53.1725,117.08,21.08,0.8382596740932433,1.6765193481864866,6.67087048643403,117.14631666666666,1.0,7.957999999999999
2D9,6.0,12.237,SHWR,2.0,53.1125,128.79,8.789999999999992,0.838416481518885,1.67683296303777,20.51940496869319,128.99394999999998,1.0,24.474
2D9,6.0,6.66,SHWR,2.0,53.1125,138.04,18.039999999999992,0.838416481518885,1.67683296303777,11.16770753383155,138.15099999999998,1.0,13.32
4D2,7.0,6.832999999999999,SHWR,1.311,53.045,151.93,7.930000000000007,0.8385925268339924,1.099394802679364,7.512164686708094,152.04388333333333,1.0,8.958063
4D9,7.0,11.005,SHWR,1.464,53.045,153.86,9.860000000000014,0.8385925268339924,1.2276994592849648,13.510832549431038,154.04341666666667,1.0,16.11132
4D9,7.0,13.100999999999999,SHWR,2.0,53.045,162.84,18.840000000000003,0.8385925268339924,1.6771850536679849,21.97280138810427,163.05835,1.0,26.201999999999998
4D9,7.0,4.8469999999999995,SHWR,2.0,53.045,163.41,19.409999999999997,0.8385925268339924,1.6771850536679849,8.129315955128721,163.49078333333333,1.0,9.693999999999999
4D9,7.0,3.668,SHWR,2.0,53.045,164.6,20.599999999999994,0.8385925268339924,1.6771850536679849,6.151914776854169,164.66113333333334,1.0,7.336
4D9,7.0,2.62,SHWR,2.0,53.045,164.79,20.789999999999992,0.8385925268339924,1.6771850536679849,4.3942248406101205,164.83366666666666,1.0,5.24
2D7,8.0,5.502000000000001,SHWR,1.2329999999999999,53.006,176.91,8.909999999999997,0.8386940671677904,1.0341097848178855,5.689672036068007,177.0017,1.0,6.783966
5D4,8.0,7.335,SHWR,2.0,53.006,179.63,11.629999999999995,0.8386940671677904,1.6773881343355808,12.303641965351485,179.75225,1.0,14.67
