Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal),Mixed Water Volume (gal),Effectiveness Generic Equal (-),Savings Generic Equal (Btu),Potable Flow Rate Unequal-WaterHeater (gal/min),Potable Flow Unequal-WaterHeater (gal),Effectiveness Generic Unequal_WaterHeater (-),Savings Generic Unequal_WaterHeater (Btu),Fixture Cold Temperature Generic (deg F),Flow_Delta Generic (gal/min),Flow_Cold_ThroughDWHR_Generic,FlowRate Effectiveness Minimum,FlowRate Effectiveness Maximum,FlowRate_Cold_Effectiveness Generic,FlowRate_Draw_Effectiveness Generic,FlowRate_Minimum,"Effectiveness_Draw_Generic Equal, Flow=Cold","HeatRecovered_Draw Generic Equal, Flow=Cold",HeatRecoveryRate_Equal Generic (Btu/min),Flow Ratio Generic,HeatRecoveryRate_Unequal-Fixture Generic (Btu/min),HeatRecovered_Draw_Generic_Unequal-Fixture (Btu),Flow_Cold_ThroughDWHR_PostCalcuations Generic
4D6,2.0,7.211,SHWR,1.88,53.3915,31.29,7.289999999999999,0.8376847350609088,1.5748473019145084,11.35622389410552,31.41018333333333,1.0,13.556679999999998,13.55668,0.43539576815616005,2528.6420581613593,0.3051526980854914,2.2004561058944785,0.7763836218513192,731.8783220628102,88.10103071140747,0.0006583108903075452,0.6989115381448022,0.5,7.5,0.6995698490351098,1.88,0.6995698490351098,0.5014380863257019,1083.6616520469993,150.2789699136041,2.687365675626262,201.5618786506994,1453.4627069501935,0.6989115381448022
2D7,2.0,5.502000000000002,SHWR,1.233,53.3915,32.91,8.909999999999998,0.8376847350609088,1.0328652783301004,5.682824761372213,33.0017,1.0,6.783966,6.783966000000002,0.4756926974183938,1382.4834972064807,0.20013472166989948,1.1011412386277872,0.5992722988390912,282.6942919053778,88.52208499572674,0.00025154769023322254,0.46567110733643746,0.5,7.5,0.5,1.233,0.4659226550266707,0.5095372864778354,559.5774344993836,101.70436832049863,2.6463619802506058,135.87131607801433,747.563981061235,0.46567110733643746
4D6,2.0,6.837999999999999,SHWR,1.84,53.3915,35.3,11.299999999999995,0.8376847350609088,1.541339912512072,10.539682321757546,35.41396666666667,1.0,12.581919999999998,12.581919999999998,0.43807200412416,2361.2513966737465,0.29866008748792783,2.0422376782424503,0.7683005531378818,672.1825579563964,88.13002258500599,0.0006224363776657915,0.6847791390301808,0.5,7.5,0.6854015754078466,1.84,0.6854015754078466,0.5019919960743233,1007.9077769431266,147.3980369908053,2.6845575878711867,197.6446280207703,1351.4939664060273,0.6847791390301808
4D6,2.0,3.606,SHWR,1.5830000000000002,53.3915,36.82,12.82,0.8376847350609088,1.3260549356014188,4.781754097778717,36.8801,1.0,5.708298000000001,5.708298,0.45477831304572464,1112.13162927532,0.2569450643985814,0.9265439022212845,0.7079233343040688,280.9972298843572,88.30748399809309,0.0004298390611707781,0.5930501268171614,0.5,7.5,0.5934799658783322,1.5830000000000002,0.5934799658783322,0.5053946253364796,463.3532496747881,128.4950775581775,2.6673183443643436,172.0120695567221,620.2755228215399,0.5930501268171614
2D7,2.0,8.123,SHWR,1.237,53.3915,38.3,14.299999999999995,0.8376847350609088,1.0362160172703443,8.417182708287005,38.43538333333333,1.0,10.048150999999999,10.048151,0.475468703746284,2046.7174755709798,0.20078398272965584,1.6309682917129944,0.6007048382617595,419.71689995075883,88.51982496198679,0.0002531541568906448,0.4671419272056334,0.5,7.5,0.5,1.237,0.46739508136252406,0.5094934988663186,828.6841771715425,102.0170106083396,2.6465832639786595,136.2919331853389,1107.099373264508,0.4671419272056334
4D6,2.0,8.081,SHWR,1.893,53.3915,40.48,16.480000000000004,0.8376847350609088,1.5857372034703003,12.814342341243494,40.614683333333346,1.0,15.297332999999998,15.297333,0.43452228272146237,2847.5908047305534,0.3072627965296996,2.4829906587565027,0.7789387106981983,828.5680483981711,88.09153259617209,0.0006703493000271843,0.7034960302981461,0.5,7.5,0.7041663795981733,1.893,0.7041663795981733,0.5012567387992964,1221.9415306305673,151.21167313829568,2.688285119605149,202.83072399757089,1639.0750806243702,0.7034960302981461
2D7,2.0,3.668,SHWR,1.881,53.3915,40.93,16.93,0.8376847350609088,1.5756849866495697,5.779612531030621,40.99113333333333,1.0,6.899508,6.899508,0.4353286399910722,1286.7233180888895,0.30531501335043054,1.1198954689693792,0.7765814098594356,372.57549426741053,88.10030139806564,0.0006592302283219276,0.6992643404059319,0.5,7.5,0.6999235706342538,1.881,0.6999235706342538,0.5014241594375985,551.4866578037022,150.35077911769415,2.6874362843581383,201.65955649456313,739.6872532220576,0.6992643404059319
2E6,3.0,21.356,SHWR,1.3630000000000002,53.3385,54.78,6.780000000000001,0.8378242501398766,1.141954452940652,24.387579297000567,55.13593333333333,1.0,29.108228000000004,29.108228000000008,0.4682213337978948,5844.704380879562,0.22104554705934826,4.720648702999442,0.6435008957899315,1302.706027476918,88.43397634179237,0.0003096755594350631,0.5130613514224206,0.5,7.5,0.5133710269818557,1.3630000000000002,0.5133710269818557,0.508078029243957,2388.7861164224323,111.85550273564489,2.6549998507184425,149.55848887793422,3193.9710884771634,0.5130613514224206
1E1,3.0,16.245,SHWR,2.0,53.3385,56.79,8.79,0.8378242501398766,1.6756485002797532,27.22090988704459,57.06075,1.0,32.49,32.49,0.42727019999999993,5953.164720573905,0.32435149972024685,5.269090112955411,0.798730114891043,1804.809088330308,87.9995548895283,0.0007798554325987306,0.7407285294064768,0.5,7.5,0.7415083848390756,2.0,0.7415083848390756,0.499753998372696,2581.5922196662514,158.91611078277938,2.697204833946748,213.34693824334352,3465.8210117631156,0.7407285294064768
2E6,3.0,7.546,SHWR,1.332,53.3385,66.46000000000001,18.460000000000008,0.8378242501398766,1.1159819011863157,8.421199426351937,66.58576666666667,1.0,10.051272,10.051272,0.4700377287930562,2026.0461277665854,0.21601809881368442,1.6300725736480626,0.6333870151287742,442.76336584077853,88.45249128698087,0.0002951563208277719,0.5017419956045728,0.5,7.5,0.5020371519254005,1.332,0.5020371519254005,0.5084355773207372,826.0078494762115,109.46300682165538,2.653190097369381,146.33379188511498,1104.2347935650776,0.5017419956045728
